Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Disease1,Disease2,Disease3,Disease4,Disease5,Disease6,Disease7,Disease8,Disease9,Disease10,Disease11,Disease12,Disease13,Disease14,Disease15,Disease16,Disease17,Disease18,Disease19,Disease20,Disease21,Disease22,Disease23,Disease24,Disease25,Disease26,Disease27,Disease28,Metric1,Metric2,Population
Cote d'Ivoire,10.4,6.5,-3.8,-0.37,311.6,195.3,-116.2,-0.37,142.3,86.1,-56.3,-0.4,52.1,31.1,-21,-0.4,18095,1343,2082,5672,2572,4296,1945,3757,10734,40,18402,2571,3581,8231,25166,6899,3573,523,736,144,3634,1175,466,6697,605,4768,4262,20181,0.179,0.009,28915452
Liberia,5.8,4.6,-1.2,-0.2,170.2,106.9,-63.3,-0.37,102.2,67.1,-35.1,-0.34,31.3,20.4,-10.9,-0.35,3675,264,322,891,791,1307,189,848,1551,131,4057,858,477,1773,4602,1816,1049,79,134,45,596,171,153,536,178,943,781,2956,0.143,0.02,5149471
China,18.8,16.5,-2.2,-0.12,1884.8,1185.7,-699.1,-0.37,410.2,205,-205.2,-0.5,217.3,116.7,-100.6,-0.46,2901717,851122,331658,381044,314148,2381,483037,13811,72981,115248,415468,42253,2304209,956264,2349332,575624,1686,54762,87912,7,1724,1173,217,1857360,148152,5937,832884,19836,0.494,0.017,1426106083
Turkmenistan,21.9,21.1,-0.8,-0.04,677.7,431.9,-245.8,-0.36,371.7,195,-176.7,-0.48,118.4,67.9,-50.5,-0.43,11108,1262,2806,2064,868,28,1316,191,236,1911,3,95,2802,3175,3678,3405,28,805,45,0,143,47,12,3644,375,11,4425,723,0.106,0.004,6949915
Eritrea,23.9,12.6,-11.3,-0.47,209.4,134.1,-75.2,-0.36,187.1,88.7,-98.4,-0.53,59.7,30.8,-28.9,-0.48,3993,657,394,871,1179,1942,400,1637,1468,172,4695,1354,1051,2093,5611,995,1680,125,238,42,633,120,159,896,53,1677,747,2471,0.147,0.002,3291277
Namibia,12,8.1,-3.9,-0.32,981.7,638.8,-342.9,-0.35,287.7,151.9,-135.8,-0.47,123.8,73.1,-50.7,-0.41,2281,120,208,901,674,543,252,333,2873,183,639,467,875,1431,1525,1405,427,98,71,6,109,77,13,853,152,339,456,614,0.242,0.06,2728763
Greece,19.2,14.5,-4.7,-0.25,1052.5,687.4,-365.1,-0.35,294.4,210.4,-84,-0.29,119.5,74.4,-45.1,-0.38,24450,2228,5206,2958,1318,3,2266,6,343,604,13,794,18251,12273,7979,11748,3,471,902,0,1,1,1,7546,1604,102,9037,121,0.365,0.305,10699370
Cameroon,8.5,4.9,-3.5,-0.42,212.8,139.2,-73.6,-0.35,115.9,75.8,-40.1,-0.35,38,24.6,-13.4,-0.35,21489,1483,1549,6688,2502,5483,1289,3852,18251,9,19336,2299,3267,11144,25342,11601,4576,377,981,190,4620,1146,537,5898,813,5325,2777,15668,0.132,0.014,26210566
Austria,15.6,5.7,-10,-0.64,568,372.6,-195.3,-0.34,236.6,126.1,-110.5,-0.47,76,43.4,-32.6,-0.43,15800,2254,1971,3605,1270,6,846,13,235,474,1,1580,7898,6126,3236,7328,5,446,1057,0,0,1,0,2922,1168,21,5781,92,0.277,0.25,8921402
Zambia,8.3,5.2,-3.1,-0.38,533.3,350.1,-183.2,-0.34,203,108.9,-94.1,-0.46,74.6,45.1,-29.5,-0.4,10977,1828,668,4020,4448,3561,979,2644,20785,133,11386,3520,2870,5900,13666,4634,3071,466,551,113,2148,316,198,2236,322,2895,1740,7201,0.251,0.037,19059395
Eswatini,9.5,9.6,0,0,575.3,378,-197.3,-0.34,197.1,135.4,-61.7,-0.31,77.2,52.1,-25.2,-0.33,1082,57,68,385,262,277,90,150,2871,18,433,318,284,929,840,1011,228,81,39,6,100,55,7,398,76,197,179,288,0.165,0.018,1192733
Cuba,16.6,10.5,-6.1,-0.37,809.7,532.9,-276.8,-0.34,285.3,194.7,-90.6,-0.32,105,67.2,-37.8,-0.36,20278,2211,3281,3820,2041,149,2430,87,994,662,368,2237,13319,12061,9645,8863,67,336,2118,0,7,9,8,9168,1342,382,7852,119,0.255,0.103,11176349
Senegal,11.2,5,-6.2,-0.55,190.1,125.6,-64.5,-0.34,152.8,77.4,-75.4,-0.49,43.7,23.4,-20.3,-0.46,14100,963,1296,775,3029,1924,1308,1054,1990,108,12605,1697,1923,7608,15250,4642,1661,136,569,30,679,330,272,2603,626,1890,2981,7199,0.131,0.007,16789215
Seychelles,19.9,16.5,-3.4,-0.17,929.8,614.5,-315.3,-0.34,318.7,151.7,-167,-0.52,119.1,68.9,-50.2,-0.42,173,36,13,25,32,3,16,3,12,3,0,36,77,93,21,91,1,9,3,0,0,0,0,21,8,2,46,8,0.34,0.064,120299
Barbados,6.3,3.6,-2.7,-0.42,305.7,203.7,-102.1,-0.33,83.4,42.2,-41.2,-0.49,34.6,20.1,-14.5,-0.42,566,34,99,99,110,2,15,3,52,3,0,72,104,629,235,437,1,8,14,0,0,0,0,235,90,7,150,13,0.15,0.019,281705
Serbia,30.4,17.1,-13.3,-0.44,953.6,637.4,-316.2,-0.33,397.9,317.3,-80.6,-0.2,139.4,91,-48.4,-0.35,42819,11201,5798,4853,1914,20,3635,17,617,2207,2062,2165,14822,18058,15760,14519,7,707,402,0,2,3,1,13608,2070,21,17241,132,0.405,0.391,6907817
Pakistan,17.8,11.8,-6,-0.34,1151.9,771.4,-380.5,-0.33,333.4,207.3,-126.1,-0.38,139.7,91.1,-48.6,-0.35,191619,21601,58123,9638,44222,28947,29320,22786,6438,22658,147846,31390,101260,119216,256023,70519,19485,10025,6318,237,16229,6245,2072,102996,10709,11225,74919,171650,0.33,0.073,235001743
Philippines,28,20.7,-7.3,-0.26,959,652.7,-306.3,-0.32,301.6,236.9,-64.7,-0.21,141.4,90.9,-50.5,-0.36,123769,32142,12304,27478,20615,4750,18392,5657,6685,3581,54955,20674,72993,64870,98209,44982,1873,4026,2524,75,2404,1000,292,43158,4120,3018,47886,16423,0.393,0.065,112081271
Vanuatu,28.5,27.8,-0.7,-0.02,826.7,563.8,-262.9,-0.32,383.4,244,-139.3,-0.36,132.8,90.6,-42.2,-0.32,476,71,103,36,65,26,41,17,21,18,439,64,163,304,478,223,20,16,6,2,10,3,1,39,8,17,201,55,0.33,0.026,298868
Moldova,26.8,26.5,-0.3,-0.01,631.5,431.4,-200.1,-0.32,355.6,288.9,-66.7,-0.19,107.8,78.7,-29.2,-0.27,14412,701,1961,3251,1676,7,863,14,345,1594,1474,954,4672,3373,3830,5151,6,759,119,0,4,6,1,2332,508,29,4637,81,0.517,0.062,3069135
Haiti,16.1,7.1,-8.9,-0.56,308,210.5,-97.5,-0.32,179.6,86.3,-93.4,-0.52,57.8,31.2,-26.6,-0.46,16219,1265,2479,3443,2449,3347,691,2890,4306,574,16146,3979,2271,9746,17683,4691,2709,624,327,124,1258,1004,268,1508,956,2232,4980,5812,0.122,0.031,11243847
Algeria,10.3,7.6,-2.7,-0.26,765.2,526.1,-239.1,-0.31,174.3,91.2,-83.1,-0.48,109.5,61.5,-48,-0.44,58623,1707,12228,805,6216,194,7384,270,803,5994,41,6008,16778,28771,22216,26555,54,1046,1357,2,137,98,111,21558,3977,271,20314,5704,0.413,0.007,44042093
Nauru,77,71.1,-5.8,-0.08,1245.1,856.2,-388.9,-0.31,708.1,590.3,-117.8,-0.17,242.2,191.7,-50.5,-0.21,22,3,5,3,4,0,4,0,1,0,0,3,12,17,2,18,0,1,0,0,0,0,0,2,1,1,10,2,0.478,0.491,11665
Peru,5.4,3.7,-1.6,-0.3,239.1,166.8,-72.3,-0.3,63,34.3,-28.7,-0.46,28.1,17.1,-10.9,-0.39,18918,3095,2505,6476,2974,367,1127,1573,3750,1296,1948,2925,5758,15458,15224,13225,275,634,1183,3,324,81,122,13167,1296,1183,5750,2471,0.132,0.03,32838576
Palau,27.9,41.2,13.3,0.48,774.8,547.4,-227.4,-0.29,368.6,256.5,-112.1,-0.3,123.5,94.6,-28.9,-0.23,38,7,10,4,6,2,5,0,3,0,0,5,21,46,6,35,1,1,1,0,0,0,0,6,3,1,18,1,0.273,0.079,17817
North Korea,25.8,28.8,3,0.12,1018.8,728.9,-289.9,-0.28,334.7,291.6,-43,-0.13,136.2,105.5,-30.7,-0.23,57958,17250,5003,7578,9286,42,9716,388,1640,6077,63401,4944,34352,19620,73611,10380,37,1134,1546,1,86,24,32,8810,2320,180,18291,852,0.348,0,26136313
Tunisia,10.3,11.5,1.2,0.11,929.9,666.7,-263.1,-0.28,227.2,162.4,-64.9,-0.29,106,72.2,-33.7,-0.32,19426,677,4436,523,2070,61,2372,48,237,514,25,1259,9129,9648,8010,9579,23,343,488,0,21,21,10,7760,1103,65,8108,643,0.472,0.02,11974058
Tuvalu,51.1,40.8,-10.3,-0.2,898.6,652.7,-245.9,-0.27,564.7,377.6,-187.1,-0.33,170.8,123.5,-47.3,-0.28,24,4,6,2,5,1,4,1,1,1,5,5,13,19,6,18,1,1,0,0,0,0,0,1,2,1,10,1,0.498,0.213,10423
Albania,9.7,10.2,0.5,0.05,1360.2,990.4,-369.8,-0.27,265.4,179.1,-86.3,-0.33,137.5,94.7,-42.8,-0.31,8433,2245,1343,625,256,8,858,23,55,464,718,71,4057,2047,2665,2049,3,116,70,0,10,3,0,1927,242,13,2444,123,0.388,0.06,2871951
Niger,5.2,2.4,-2.8,-0.53,165.9,120.9,-45,-0.27,50.8,29.3,-21.5,-0.42,23.3,16.2,-7.1,-0.3,10075,769,903,983,2588,12630,1128,11495,1888,12,20678,1155,1122,4352,24676,2566,10874,138,496,965,12076,2330,735,3944,340,8977,1804,22339,0.137,0.011,23717614
Solomon Islands,33.5,41.3,7.8,0.23,1173.1,856.1,-317,-0.27,565.7,481.3,-84.4,-0.15,189.8,157.4,-32.3,-0.17,649,137,164,47,196,48,191,43,56,56,1000,280,573,585,1069,461,40,34,16,3,31,6,12,68,62,71,324,98,0.538,0.192,744507
Samoa,21.3,27.8,6.5,0.31,963,705.8,-257.1,-0.27,391.2,300.6,-90.6,-0.23,137.5,108.9,-28.6,-0.21,288,21,80,17,59,4,60,7,14,3,203,83,156,276,253,242,1,7,6,0,2,1,0,49,31,3,100,24,0.361,0.145,211958
Vietnam,12.7,15.4,2.6,0.21,981.4,725.3,-256.2,-0.26,312,232.9,-79.1,-0.25,118.4,88.1,-30.3,-0.26,173808,35739,7126,46156,21096,884,18813,595,6531,932,57192,9931,84571,68154,99774,18976,596,9301,9239,2,487,312,42,41479,5014,887,37680,5753,0.474,0.022,98079196
India,20.3,9.5,-10.8,-0.53,932.2,691.5,-240.6,-0.26,297.7,167.5,-130.2,-0.44,121.9,76.8,-45.1,-0.37,1439478,169544,222854,261096,487166,338521,220564,60991,90387,183302,1047673,165310,836057,855985,2087016,343479,242866,64186,123734,1553,42235,15072,5166,947584,101014,125512,555842,362478,0.413,0.13,1402617692
Uruguay,22.9,11.8,-11.1,-0.49,591.3,438.9,-152.4,-0.26,362.9,217.9,-145,-0.4,101.9,64.1,-37.9,-0.37,5364,788,1195,1104,639,27,479,65,366,430,22,725,3432,3045,1115,2920,8,123,245,0,3,3,2,1047,311,20,1867,72,0.244,0.185,3398967
Laos,35.9,19.1,-16.8,-0.47,1447.6,1076,-371.6,-0.26,571.5,275.8,-295.7,-0.52,206.8,126.6,-80.2,-0.39,9163,2118,538,2013,1416,571,1419,599,498,271,6810,1104,5281,4041,9234,1950,458,331,202,14,403,234,54,2361,182,494,2893,2162,0.533,0.103,7346533
Paraguay,10.2,6.4,-3.8,-0.37,802.7,599.6,-203.1,-0.25,176.3,140.3,-36,-0.2,84.1,61.9,-22.2,-0.26,6332,895,743,1722,650,65,592,228,718,192,1102,976,3462,5610,2350,4500,44,268,231,1,27,28,22,1188,365,88,2243,613,0.186,0.044,6603742
Kazakhstan,30.1,15.4,-14.7,-0.49,576.2,434.8,-141.4,-0.25,406,221.4,-184.7,-0.45,118.6,68.2,-50.5,-0.43,38439,4118,7709,7309,3431,21,3152,143,748,3248,239,469,12415,10379,13401,10413,19,2699,363,1,55,47,8,12694,1170,32,12751,1221,0.396,0.067,19482117
Saudi Arabia,10.7,17,6.4,0.6,325,245.4,-79.6,-0.25,144,122.2,-21.8,-0.15,50.8,43,-7.7,-0.15,31432,1266,8338,445,5721,128,4145,128,578,3833,3,4301,10860,19523,21750,27560,30,849,1706,0,18,19,77,21491,2675,112,16801,557,0.265,0.02,30991205
Papua New Guinea,25.2,23.4,-1.8,-0.07,740.6,563,-177.6,-0.24,354.3,249.5,-104.8,-0.3,121.3,90.6,-30.8,-0.25,5907,1357,1925,585,1922,2231,2561,2300,1120,446,12263,1129,4800,6556,13787,3992,1843,182,208,43,2025,366,143,1521,472,1679,2671,3937,0.535,0.251,9815741
Cape Verde,5.7,4,-1.7,-0.3,191.8,147.1,-44.7,-0.23,84.6,69.3,-15.4,-0.18,29.7,22,-7.8,-0.26,729,54,61,153,116,34,36,14,76,12,129,69,99,397,491,248,30,6,17,0,3,2,1,360,21,66,186,45,0.173,0.054,514684
Burkina Faso,6.4,4.3,-2.1,-0.32,124,97.2,-26.8,-0.22,80.6,55.4,-25.2,-0.31,24.9,17.9,-7,-0.28,12938,1100,1355,4458,4618,8884,1647,9725,3207,134,19187,3514,1774,5858,22954,2736,7572,169,900,501,7022,1828,360,3723,343,7367,1732,17230,0.221,0.064,21478692
Lebanon,23.2,10.5,-12.7,-0.55,1048.8,825.7,-223.1,-0.21,351.6,162.2,-189.4,-0.54,134.4,78,-56.4,-0.42,6187,185,1769,206,322,64,1109,32,88,28,11,105,4893,5464,2971,4509,8,87,247,0,18,15,2,2838,619,66,2512,224,0.475,0.289,5702401
Bahamas,8.5,7.1,-1.4,-0.17,263.7,207.9,-55.8,-0.21,135,80,-55,-0.41,43.4,28.8,-14.6,-0.34,538,59,92,126,117,2,23,6,101,12,0,109,117,341,128,402,0,18,13,0,0,1,1,127,32,4,118,14,0.188,0.024,395874
Iran,8.5,8.3,-0.2,-0.02,400.3,316.2,-84.1,-0.21,183.3,94.7,-88.6,-0.48,61.2,38.1,-23.1,-0.38,94234,3525,25735,1694,5328,238,6821,205,663,3124,73,5372,28860,48431,50916,49884,221,4714,2799,0,40,25,28,49495,6688,303,42228,1978,0.241,0.031,87723446
Mozambique,11.2,10.5,-0.8,-0.07,389.9,309.2,-80.7,-0.21,160.4,147.3,-13.1,-0.08,59.2,51.6,-7.6,-0.13,22520,2977,1323,4646,5511,6628,1487,5232,38222,213,26681,5435,5938,8934,28551,6193,5658,944,973,192,3674,991,364,1839,417,5334,3093,19019,0.23,0.056,30783685
East Timor,19.4,13.6,-5.8,-0.3,971.3,774,-197.3,-0.2,262.8,237.1,-25.7,-0.1,119.5,100.6,-18.9,-0.16,1749,382,114,213,434,110,247,215,137,67,1163,314,781,584,1531,157,89,60,36,3,126,34,15,362,26,54,402,423,0.676,0.108,1326051
Chad,8.1,5.6,-2.6,-0.32,326.9,261.6,-65.3,-0.2,114,89.4,-24.6,-0.22,44,35.4,-8.7,-0.2,8915,739,1701,2672,2885,20310,1316,18676,3278,203,18819,2744,2002,4409,22844,2518,17310,188,435,1462,10846,4616,704,3981,283,12332,1994,20072,0.138,0.027,17224685
Tonga,16.8,17.5,0.7,0.04,1209.3,971.6,-237.7,-0.2,325.2,263.6,-61.6,-0.19,140.9,111.2,-29.8,-0.21,101,18,27,7,19,3,25,5,9,3,61,17,87,140,87,117,1,7,3,0,1,0,0,25,13,4,44,9,0.467,0.153,105719
Malawi,9.4,9.4,0,0,597.4,481.8,-115.7,-0.19,180.2,155.4,-24.8,-0.14,75.3,62.5,-12.9,-0.17,12004,1552,584,3518,2195,5303,980,3017,17616,151,14802,3007,4483,5292,15903,3549,4557,426,598,105,1947,399,271,1073,246,4013,2380,7822,0.175,0.041,19533886
Congo,12.6,10,-2.6,-0.21,443,357.9,-85.1,-0.19,208.1,126.4,-81.7,-0.39,69.3,49.7,-19.6,-0.28,5368,318,534,1696,1101,745,330,447,4252,46,2533,1545,1318,2931,4116,2514,643,160,194,13,195,93,81,1549,155,517,1227,1370,0.268,0.021,5752791
Bosnia and Herzegovina,20.7,15.6,-5.1,-0.25,951.8,773.4,-178.4,-0.19,332.3,277.2,-55.1,-0.17,122.2,92.6,-29.5,-0.24,10948,2976,1222,1434,746,9,1160,4,149,877,1511,352,5829,6213,5821,4043,5,126,75,0,1,2,0,4240,645,7,4430,64,0.42,0.28,3299352
Belarus,32.7,32.1,-0.6,-0.02,840.3,686.9,-153.4,-0.18,405.2,369.9,-35.2,-0.09,130.7,108.4,-22.4,-0.17,44872,2125,11169,6785,3699,4,2968,22,640,5451,65,966,17308,8005,11244,12559,3,1069,438,0,3,4,1,11135,1941,16,19509,78,0.474,0.135,9350943
Cambodia,25.7,16.5,-9.2,-0.36,1366.2,1118.8,-247.4,-0.18,485.3,288.5,-196.7,-0.41,186.4,131.1,-55.3,-0.3,17092,4726,942,6718,5537,793,3249,1056,1548,290,18357,4446,14428,8157,21896,3293,580,1064,1008,7,643,210,95,3459,320,976,4987,3535,0.361,0.06,16725482
Russia,34.3,31.1,-3.2,-0.09,544.5,446.3,-98.2,-0.18,401,302.5,-98.4,-0.25,114.3,83.3,-31,-0.27,513141,53587,95222,117583,48387,131,33570,412,16475,47459,1278,22475,196883,163237,93885,177027,131,26406,6580,0,133,104,25,91533,28051,351,255684,2120,0.408,0.128,146371293
Jamaica,6,4.8,-1.2,-0.2,350.9,287.9,-63,-0.18,143.1,90.8,-52.3,-0.37,47.2,34,-13.2,-0.28,3884,436,629,400,652,57,229,73,509,31,331,690,1054,3410,1454,2796,33,55,67,0,2,4,4,1102,501,37,851,271,0.15,0.038,2830746
Mongolia,19,27.5,8.4,0.44,772.3,635,-137.2,-0.18,428.3,286.1,-142.2,-0.33,129.4,99.5,-30,-0.23,3973,528,886,2059,1036,16,395,31,148,544,643,368,2368,786,2370,1242,14,534,72,0,41,17,5,1711,49,41,1373,354,0.517,0.071,3290788
Kuwait,12.1,11,-1,-0.09,506.5,417,-89.5,-0.18,178.7,77.9,-100.8,-0.56,69.2,42.4,-26.8,-0.39,2333,178,660,19,304,2,375,5,19,179,0,76,1262,1721,1771,1969,0,64,82,0,6,5,1,1765,282,12,1384,120,0.335,0.022,4400146
El Salvador,5.7,5.2,-0.5,-0.08,159.6,131.4,-28.2,-0.18,67.5,58.4,-9,-0.13,24.1,19.8,-4.3,-0.18,6455,1057,842,2050,1048,157,351,340,870,112,906,884,1225,6147,3084,5184,107,271,305,1,30,21,7,2112,401,108,2347,336,0.141,0.017,6234680
Guinea-Bissau,9.2,7.8,-1.4,-0.15,194.4,160.5,-33.9,-0.17,131.7,105,-26.7,-0.2,39.3,32.5,-6.8,-0.17,1636,121,117,454,338,440,109,257,1310,8,1915,461,266,723,2287,562,359,61,57,53,283,47,29,367,56,405,374,1434,0.17,0.009,2013259
Iraq,16.6,11.2,-5.4,-0.33,1035.1,859.6,-175.5,-0.17,371.9,225.4,-146.5,-0.39,135,100.4,-34.6,-0.26,57255,1615,12340,399,6306,277,7324,520,323,7658,150,2055,21408,34188,29214,27381,136,902,866,4,372,212,48,28831,4611,101,22394,6462,0.351,0.018,42116604
Belize,4.7,4.7,0,-0.01,307.7,256.2,-51.6,-0.17,121.1,78.6,-42.5,-0.35,41.1,31,-10,-0.24,280,30,40,88,17,7,18,17,82,1,32,64,90,295,161,268,3,15,10,0,2,2,1,126,24,13,71,47,0.151,0.018,390819
Marshall Islands,36,48.4,12.5,0.35,784.5,664.1,-120.4,-0.15,413.1,322.3,-90.8,-0.22,140,121.2,-18.8,-0.13,71,14,22,10,23,3,14,1,5,3,41,20,46,111,52,86,2,3,1,0,1,0,0,11,17,3,37,8,0.487,0.083,42728
Dominican Republic,9.6,9.5,-0.1,-0.01,617.3,524.9,-92.4,-0.15,148.4,136.4,-12,-0.08,73.2,58.2,-15,-0.21,13452,1288,1988,2392,500,430,765,598,1168,268,335,1737,5730,7094,5383,6069,242,363,332,3,56,96,38,5019,761,293,5407,2500,0.146,0.065,11008297
Armenia,22,18.6,-3.4,-0.15,936.8,802.1,-134.7,-0.14,392.3,279,-113.3,-0.29,135.7,96.2,-39.5,-0.29,7775,1052,2067,611,403,2,1093,17,128,1126,174,28,4192,2688,4227,2769,2,65,77,0,20,9,1,3984,349,24,2618,122,0.494,0.015,2890894
Kyrgyzstan,23.9,17.8,-6.2,-0.26,822.5,706.4,-116.2,-0.14,372.3,239.6,-132.6,-0.36,127.4,92.2,-35.2,-0.28,8500,1121,2387,2149,1472,33,1284,72,310,1275,3142,313,4265,2031,5465,3045,34,715,99,1,81,27,8,2234,316,27,3668,823,0.48,0.028,6664142
Yemen,23.5,15.3,-8.2,-0.35,791.4,723.1,-68.3,-0.09,405.5,247.9,-157.6,-0.39,130.9,96.9,-34.1,-0.26,31663,1229,8343,368,8030,1173,4563,2643,716,4592,13261,6185,13138,9576,25948,11050,911,483,1001,97,1414,533,305,12486,1952,1036,13966,13862,0.325,0.081,36134868
Kiribati,60.7,67.9,7.2,0.12,1447.3,1328.5,-118.8,-0.08,724,632.7,-91.3,-0.13,243.8,223.4,-20.4,-0.08,120,23,42,10,31,28,44,19,22,5,124,23,167,207,137,164,21,12,1,1,3,1,1,11,23,11,57,34,0.539,0.273,126110
Ghana,6.2,5,-1.2,-0.2,235.1,216.6,-18.5,-0.08,85,69.1,-15.9,-0.19,34.8,29.4,-5.4,-0.16,29753,3059,2993,6663,1972,4317,1088,2999,15149,39,18347,3733,4542,15717,29473,11393,3278,767,1106,71,1366,369,319,11037,1259,4554,7788,12754,0.066,0.003,31887801
Zimbabwe,9.8,20.2,10.5,1.07,728.9,691.1,-37.8,-0.05,261.6,294.7,33.2,0.13,98.3,105.8,7.5,0.08,12776,937,886,4429,3882,3835,1651,4331,20308,315,13524,3829,7205,7544,15077,6808,2899,678,373,117,1640,701,242,1516,522,2849,2444,7413,0.218,0.015,15526888
Egypt,19.6,17.4,-2.2,-0.11,914.3,878.5,-35.8,-0.04,284.3,249.4,-34.9,-0.12,120.5,110.5,-10,-0.08,166123,5576,26785,3084,9774,1103,20055,2454,976,12041,177,641,61816,82217,116519,111096,902,1235,1303,17,1963,1185,163,115654,10743,987,73375,7570,0.481,0.004,109315119
Georgia,33.5,26.9,-6.6,-0.2,609.7,623,13.3,0.02,359.3,288,-71.3,-0.2,111.8,91.1,-20.7,-0.19,14743,2030,2173,1735,1910,3,1475,5,255,682,1195,1078,5342,3888,4403,4513,3,317,231,0,5,4,2,3141,521,29,3530,167,0.563,0.071,3795680
Indonesia,20,20.5,0.5,0.02,750.8,808.1,57.3,0.08,240.4,234.7,-5.6,-0.02,100.3,102.8,2.5,0.03,530700,100475,29356,23578,69372,33703,52710,24668,13301,3749,88747,46796,223481,166316,221663,87652,13655,8987,10558,228,4935,2451,1214,129281,42971,5736,113820,32449,0.714,0.037,274814864
Montenegro,26.6,22.8,-3.8,-0.14,746.2,825,78.8,0.11,393.9,366.7,-27.3,-0.07,122.7,114.4,-8.3,-0.07,2510,658,345,295,70,0,269,1,23,145,147,18,1120,953,827,810,0,23,28,0,0,0,0,675,88,1,735,8,0.316,0.311,607936
Sao Tome and Principe,3.5,3.7,0.2,0.05,136.8,152.6,15.8,0.12,78.8,72.1,-6.7,-0.08,23.4,23.5,0.2,0.01,180,12,23,49,12,11,5,10,16,1,108,28,26,69,146,67,8,2,7,0,3,1,1,36,4,24,40,28,0.101,0.013,217449
Azerbaijan,22,15.9,-6.1,-0.28,676.7,781.9,105.2,0.16,353,218.5,-134.5,-0.38,115.4,90,-25.5,-0.22,20719,2527,5589,2520,1436,99,3079,249,283,2007,335,269,8658,6590,8049,7443,87,699,93,1,187,144,4,7598,674,61,8096,1415,0.479,0.001,10181736
Mali,5.4,3.7,-1.7,-0.32,239.4,282,42.6,0.18,81.6,79.4,-2.2,-0.03,33.3,35.7,2.4,0.07,10158,863,985,1739,2492,6533,1597,12381,4641,241,21419,2248,2743,6494,26307,3794,5508,274,642,923,5878,1059,502,4804,524,4865,2054,33750,0.156,0.01,21713839
Uzbekistan,10.9,11.8,0.9,0.08,269.1,330.8,61.7,0.23,168.4,134.1,-34.3,-0.2,51.8,47.2,-4.6,-0.09,53532,6781,16829,6045,5737,51,5048,652,1319,9825,5276,212,12436,19702,32524,21334,58,3030,371,1,671,474,30,27099,1095,241,26152,5340,0.34,0.011,33586372
Lesotho,19.9,44.6,24.7,1.24,803.9,1003.6,199.7,0.25,276.4,461.6,185.3,0.67,106.8,164.1,57.4,0.54,2303,137,96,1097,829,1007,409,492,6202,64,2075,684,1814,1612,2473,1607,854,177,84,28,303,139,24,379,71,772,289,858,0.431,0.054,2235727
High-income countries,18.4,8,-10.4,-0.57,888.9,436.3,-452.6,-0.51,314.2,135,-179.2,-0.57,109.7,48.5,-61.2,-0.56,1783362,243069,300694,424471,226191,2678,113551,24674,43984,83913,3186,158511,1168393,1168474,428770,965411,1417,170758,114733,3,260,347,326,390196,141086,4501,639008,17670,0.2761,0.1734,1245004614
World,18.7,11.5,-7.3,-0.39,1022.5,660.8,-361.7,-0.35,324.2,170.9,-153.3,-0.47,126.2,72.6,-53.6,-0.42,10852106,1857696,1546243,1809439,1683592,802486,1292098,493989,900652,658247,3112927,861480,6175019,5292827,8079996,3709063,595242,463360,459661,17374,311123,92659,34292,4718812,657619,446330,3646004,1540470,0.3734,0.0869,7887001284
Upper-middle-income countries,19.1,14,-5.1,-0.27,1301.4,864.9,-436.5,-0.34,361.1,186,-175.1,-0.48,154.5,89.4,-65.1,-0.42,4625922,1067231,614292,729407,486025,28136,640556,45753,278953,229031,466659,179036,3038233,1927157,2953996,1445305,15648,132802,136296,229,8494,5353,1817,2394823,263735,28257,1523064,94934,0.4387,0.0477,2817793595
Low-income countries,12.7,7.7,-5,-0.39,468.4,319.4,-149.1,-0.32,187.2,116.1,-71.1,-0.38,70.5,44.8,-25.7,-0.36,479054,54090,68601,88588,111320,170536,50420,162246,190304,26902,544996,110181,141565,224602,656940,167182,145914,12412,20646,11057,106003,26843,11794,108310,23015,129959,125405,380077,0.2101,0.0387,679560815
Lower-middle-income countries,19.4,11.5,-7.9,-0.41,899.4,669.5,-229.8,-0.26,301.3,181.7,-119.7,-0.4,118.8,78.5,-40.2,-0.34,3952056,491002,560897,564965,858656,600685,486504,260898,386682,317777,2095923,412735,1821720,1966408,4034667,1126236,431935,147097,187618,6071,196147,60033,20325,1822095,229042,283305,1354366,1046866,0.3769,0.0937,3141910276
